Date,Open,High,Low,Close,Adj Close,Volume,Chg%,Daily Return 
23-01-1995,18.38,18.51,18.09,18.1,18.1,51120,-2.95%,1.523394995
24-01-1995,18.1,18.55,18.06,18.39,18.39,59900,1.60%,-1.602209945
25-01-1995,18.4,18.67,18.15,18.39,18.39,73460,0.00%,0.054347826
26-01-1995,18.39,18.47,18.2,18.24,18.24,32270,-0.82%,0.815660685
27-01-1995,18.23,18.24,17.83,17.95,17.95,65610,-1.59%,1.535929786
30-01-1995,17.95,18.13,17.89,18.09,18.09,29650,0.78%,-0.77994429
31-01-1995,18.12,18.4,18.07,18.39,18.39,32619,1.66%,-1.490066225
01-02-1995,18.38,18.54,18.34,18.52,18.52,38710,0.71%,-0.761697497
02-02-1995,18.48,18.7,18.13,18.54,18.54,53240,0.11%,-0.324675325
03-02-1995,18.51,18.83,18.46,18.78,18.78,44210,1.29%,-1.458670989
06-02-1995,18.85,18.93,18.35,18.59,18.59,59080,-1.01%,1.379310345
07-02-1995,18.56,18.61,18.42,18.46,18.46,31910,-0.70%,0.538793103
08-02-1995,18.42,18.51,18.25,18.3,18.3,40400,-0.87%,0.651465798
09-02-1995,18.3,18.42,18.21,18.24,18.24,33460,-0.33%,0.327868852
10-02-1995,18.25,18.52,18.23,18.46,18.46,38230,1.21%,-1.150684932
13-02-1995,18.55,18.55,18.13,18.27,18.27,45630,-1.03%,1.509433962
14-02-1995,18.25,18.45,18.21,18.32,18.32,36720,0.27%,-0.383561644
15-02-1995,18.28,18.6,18.28,18.42,18.42,37430,0.55%,-0.765864333
16-02-1995,18.42,18.62,18.29,18.59,18.59,24370,0.92%,-0.922909881
17-02-1995,18.59,18.93,18.56,18.91,18.91,29440,1.72%,-1.721355568
21-02-1995,18.78,18.98,18.72,18.86,18.86,40390,-0.26%,-0.425985091
22-02-1995,18.65,18.73,18.54,18.63,18.63,27360,-1.22%,0.107238606
23-02-1995,18.63,18.65,18.41,18.43,18.43,37430,-1.07%,1.073537305
24-02-1995,18.43,18.7,18.39,18.69,18.69,29220,1.41%,-1.410743353
27-02-1995,18.67,18.78,18.65,18.66,18.66,22280,-0.16%,0.053561864
28-02-1995,18.65,18.65,18.47,18.49,18.49,24560,-0.91%,0.857908847
01-03-1995,18.52,18.6,18.3,18.32,18.32,38870,-0.92%,1.079913607
02-03-1995,18.32,18.39,18.22,18.35,18.35,40670,0.16%,-0.163755459
03-03-1995,18.32,18.65,18.32,18.63,18.63,31510,1.53%,-1.692139738
06-03-1995,18.6,18.69,18.53,18.59,18.59,27440,-0.21%,0.053763441
07-03-1995,18.57,18.68,18.43,18.63,18.63,28760,0.22%,-0.323101777
08-03-1995,18.63,18.68,18.24,18.33,18.33,64360,-1.61%,1.610305958
