Date,JHDUSRGDPBR
01-10-1967,0
01-01-1968,0
01-04-1968,0
01-07-1968,0
01-10-1968,0
01-01-1969,0
01-04-1969,1
01-07-1969,1
01-10-1969,1
01-01-1970,1
01-04-1970,1
01-07-1970,1
01-10-1970,1
01-01-1971,0
01-04-1971,0
01-07-1971,0
01-10-1971,0
01-01-1972,0
01-04-1972,0
01-07-1972,0
01-10-1972,0
01-01-1973,0
01-04-1973,0
01-07-1973,0
01-10-1973,1
01-01-1974,1
01-04-1974,1
01-07-1974,1
01-10-1974,1
01-01-1975,1
01-04-1975,0
01-07-1975,0
01-10-1975,0
01-01-1976,0
01-04-1976,0
01-07-1976,0
01-10-1976,0
01-01-1977,0
01-04-1977,0
01-07-1977,0
01-10-1977,0
01-01-1978,0
01-04-1978,0
01-07-1978,0
01-10-1978,0
01-01-1979,0
01-04-1979,1
01-07-1979,1
01-10-1979,1
01-01-1980,1
01-04-1980,1
01-07-1980,0
01-10-1980,0
01-01-1981,0
01-04-1981,1
01-07-1981,1
01-10-1981,1
01-01-1982,1
01-04-1982,1
01-07-1982,0
01-10-1982,0
01-01-1983,0
01-04-1983,0
01-07-1983,0
01-10-1983,0
01-01-1984,0
01-04-1984,0
01-07-1984,0
01-10-1984,0
01-01-1985,0
01-04-1985,0
01-07-1985,0
01-10-1985,0
01-01-1986,0
01-04-1986,0
01-07-1986,0
01-10-1986,0
01-01-1987,0
01-04-1987,0
01-07-1987,0
01-10-1987,0
01-01-1988,0
01-04-1988,0
01-07-1988,0
01-10-1988,0
01-01-1989,0
01-04-1989,0
01-07-1989,0
01-10-1989,1
01-01-1990,1
01-04-1990,1
01-07-1990,1
01-10-1990,1
01-01-1991,1
01-04-1991,0
01-07-1991,0
01-10-1991,0
01-01-1992,0
01-04-1992,0
01-07-1992,0
01-10-1992,0
01-01-1993,0
01-04-1993,0
01-07-1993,0
01-10-1993,0
01-01-1994,0
01-04-1994,0
01-07-1994,0
01-10-1994,0
01-01-1995,0
01-04-1995,0
01-07-1995,0
01-10-1995,0
01-01-1996,0
01-04-1996,0
01-07-1996,0
01-10-1996,0
01-01-1997,0
01-04-1997,0
01-07-1997,0
01-10-1997,0
01-01-1998,0
01-04-1998,0
01-07-1998,0
01-10-1998,0
01-01-1999,0
01-04-1999,0
01-07-1999,0
01-10-1999,0
01-01-2000,0
01-04-2000,0
01-07-2000,0
01-10-2000,0
01-01-2001,1
01-04-2001,1
01-07-2001,1
01-10-2001,0
01-01-2002,0
01-04-2002,0
01-07-2002,0
01-10-2002,0
01-01-2003,0
01-04-2003,0
01-07-2003,0
01-10-2003,0
01-01-2004,0
01-04-2004,0
01-07-2004,0
01-10-2004,0
01-01-2005,0
01-04-2005,0
01-07-2005,0
01-10-2005,0
01-01-2006,0
01-04-2006,0
01-07-2006,0
01-10-2006,0
01-01-2007,0
01-04-2007,0
01-07-2007,0
01-10-2007,1
01-01-2008,1
01-04-2008,1
01-07-2008,1
01-10-2008,1
01-01-2009,1
01-04-2009,1
01-07-2009,0
01-10-2009,0
01-01-2010,0
01-04-2010,0
01-07-2010,0
01-10-2010,0
01-01-2011,0
01-04-2011,0
01-07-2011,0
01-10-2011,0
01-01-2012,0
01-04-2012,0
01-07-2012,0
01-10-2012,0
01-01-2013,0
01-04-2013,0
01-07-2013,0
01-10-2013,0
01-01-2014,0
01-04-2014,0
01-07-2014,0
01-10-2014,0
01-01-2015,0
01-04-2015,0
01-07-2015,0
01-10-2015,0
01-01-2016,0
01-04-2016,0
01-07-2016,0
01-10-2016,0
01-01-2017,0
01-04-2017,0
01-07-2017,0
01-10-2017,0
01-01-2018,0
01-04-2018,0
01-07-2018,0
01-10-2018,0
01-01-2019,0
01-04-2019,0
01-07-2019,0
01-10-2019,0
01-01-2020,1
01-04-2020,1
01-07-2020,0
01-10-2020,0
01-01-2021,0
01-04-2021,0
01-07-2021,0
01-10-2021,0
01-01-2022,0
01-04-2022,0
01-07-2022,0
05-07-2022,0
06-07-2022,0
07-07-2022,0
08-07-2022,0
09-07-2022,0
10-07-2022,0
11-07-2022,0
12-07-2022,0
13-07-2022,0
14-07-2022,0
15-07-2022,0
16-07-2022,0
17-07-2022,0
18-07-2022,0
19-07-2022,0
20-07-2022,0
21-07-2022,0
22-07-2022,0
23-07-2022,0
24-07-2022,0
25-07-2022,0
26-07-2022,0
27-07-2022,0
28-07-2022,0
29-07-2022,0
30-07-2022,0
31-07-2022,0
01-08-2022,0
02-08-2022,0
03-08-2022,0
04-08-2022,0
05-08-2022,0
06-08-2022,0
07-08-2022,0
08-08-2022,0
09-08-2022,0
10-08-2022,0
11-08-2022,0
12-08-2022,0
13-08-2022,0
14-08-2022,0
15-08-2022,0
16-08-2022,0
17-08-2022,0
18-08-2022,0
19-08-2022,0
20-08-2022,0
21-08-2022,0
22-08-2022,0
23-08-2022,0
24-08-2022,0
25-08-2022,0
26-08-2022,0
27-08-2022,0
28-08-2022,0
29-08-2022,0
30-08-2022,0
31-08-2022,0
01-09-2022,0
02-09-2022,0
03-09-2022,0
04-09-2022,0
05-09-2022,0
06-09-2022,0
07-09-2022,0
08-09-2022,0
09-09-2022,0
10-09-2022,0
11-09-2022,0
12-09-2022,0
13-09-2022,0
14-09-2022,0
15-09-2022,0
16-09-2022,0
17-09-2022,0
18-09-2022,0
19-09-2022,0
20-09-2022,0
21-09-2022,0
22-09-2022,0
23-09-2022,0
24-09-2022,0
25-09-2022,0
26-09-2022,0
27-09-2022,0
28-09-2022,0
29-09-2022,0
30-09-2022,0
01-10-2022,0
02-10-2022,0
03-10-2022,0
04-10-2022,0
05-10-2022,0
06-10-2022,0
07-10-2022,0
08-10-2022,0
09-10-2022,0
10-10-2022,0
11-10-2022,0
12-10-2022,0
13-10-2022,0
14-10-2022,0
15-10-2022,0
16-10-2022,0
17-10-2022,0
18-10-2022,0
19-10-2022,0
20-10-2022,0
21-10-2022,0
22-10-2022,0
23-10-2022,0
24-10-2022,0
25-10-2022,0
26-10-2022,0
27-10-2022,0
28-10-2022,0
29-10-2022,0
30-10-2022,0
31-10-2022,0
01-11-2022,0
02-11-2022,0
03-11-2022,0
04-11-2022,0
05-11-2022,0
06-11-2022,0
07-11-2022,0
